id,bing_sentiment,afinn_sentiment,nrc_sentiment,bing_sentiment_normalized,afinn_sentiment_normalized,nrc_sentiment_normalized
1,8,-41,8,0.6257668711656442,0.3697478991596639,0.46113989637305697
2,7,8,13,0.6196319018404908,0.5756302521008403,0.48704663212435234
3,7,12,4,0.6196319018404908,0.592436974789916,0.44041450777202074
4,-6,-8,-4,0.5398773006134969,0.5084033613445378,0.39896373056994816
5,11,15,14,0.6441717791411042,0.6050420168067226,0.49222797927461137
6,5,8,6,0.6073619631901841,0.5756302521008403,0.45077720207253885
7,3,4,4,0.5950920245398773,0.5588235294117647,0.44041450777202074
8,-12,5,-8,0.5030674846625767,0.5630252100840336,0.37823834196891193
9,-8,-13,-6,0.5276073619631901,0.48739495798319327,0.38860103626943004
10,1,-1,2,0.5828220858895705,0.5378151260504201,0.43005181347150256
11,-4,9,-2,0.5521472392638037,0.5798319327731093,0.40932642487046633
12,-9,9,-4,0.5214723926380368,0.5798319327731093,0.39896373056994816
13,-11,0,-15,0.50920245398773,0.542016806722689,0.34196891191709844
14,-1,1,-2,0.5705521472392638,0.5462184873949579,0.40932642487046633
15,2,0,2,0.588957055214724,0.542016806722689,0.43005181347150256
16,-7,-10,-10,0.5337423312883436,0.5,0.36787564766839376
17,3,-12,6,0.5950920245398773,0.49159663865546216,0.45077720207253885
18,-11,-26,-15,0.50920245398773,0.4327731092436975,0.34196891191709844
19,1,0,2,0.5828220858895705,0.542016806722689,0.43005181347150256
20,-4,6,-3,0.5521472392638037,0.5672268907563025,0.40414507772020725
21,8,-12,12,0.6257668711656442,0.49159663865546216,0.48186528497409326
22,-15,-18,-9,0.48466257668711654,0.46638655462184875,0.37305699481865284
23,3,3,4,0.5950920245398773,0.5546218487394958,0.44041450777202074
24,-14,11,-15,0.49079754601226994,0.5882352941176471,0.34196891191709844
25,-4,-7,-3,0.5521472392638037,0.5126050420168067,0.40414507772020725
26,6,5,5,0.6134969325153374,0.5630252100840336,0.44559585492227977
27,9,5,17,0.6319018404907976,0.5630252100840336,0.5077720207253886
28,-8,0,-7,0.5276073619631901,0.542016806722689,0.38341968911917096
29,-10,-14,-7,0.5153374233128835,0.4831932773109244,0.38341968911917096
30,15,-22,38,0.6687116564417178,0.4495798319327731,0.616580310880829
31,5,-34,15,0.6073619631901841,0.39915966386554624,0.49740932642487046
32,12,-9,30,0.6503067484662577,0.5042016806722689,0.5751295336787565
33,-7,-5,-8,0.5337423312883436,0.5210084033613446,0.37823834196891193
34,13,5,26,0.656441717791411,0.5630252100840336,0.5544041450777202
35,-14,-13,-9,0.49079754601226994,0.48739495798319327,0.37305699481865284
36,-16,4,-11,0.4785276073619632,0.5588235294117647,0.3626943005181347
37,-9,-14,-5,0.5214723926380368,0.4831932773109244,0.39378238341968913
38,-20,-22,-20,0.4539877300613497,0.4495798319327731,0.3160621761658031
39,2,3,3,0.588957055214724,0.5546218487394958,0.43523316062176165
40,-14,-8,-11,0.49079754601226994,0.5084033613445378,0.3626943005181347
41,-4,0,-3,0.5521472392638037,0.542016806722689,0.40414507772020725
42,16,24,23,0.6748466257668712,0.6428571428571429,0.538860103626943
43,-9,-8,-10,0.5214723926380368,0.5084033613445378,0.36787564766839376
44,-9,9,-7,0.5214723926380368,0.5798319327731093,0.38341968911917096
45,6,6,10,0.6134969325153374,0.5672268907563025,0.47150259067357514
46,6,0,14,0.6134969325153374,0.542016806722689,0.49222797927461137
47,-2,10,-1,0.5644171779141104,0.5840336134453782,0.41450777202072536
48,-3,-5,-5,0.558282208588957,0.5210084033613446,0.39378238341968913
49,18,11,24,0.6871165644171779,0.5882352941176471,0.5440414507772021
50,-10,2,-3,0.5153374233128835,0.5504201680672269,0.40414507772020725
51,7,2,16,0.6196319018404908,0.5504201680672269,0.5025906735751295
52,7,-17,28,0.6196319018404908,0.47058823529411764,0.56476683937823835
53,2,-12,7,0.588957055214724,0.49159663865546216,0.45595854922279794
54,1,-1,3,0.5828220858895705,0.5378151260504201,0.43523316062176165
55,-15,-23,-16,0.48466257668711654,0.44537815126050423,0.33678756476683935
56,-7,-5,-4,0.5337423312883436,0.5210084033613446,0.39896373056994816
57,-10,-16,-8,0.5153374233128835,0.47478991596638653,0.37823834196891193
58,-7,9,-6,0.5337423312883436,0.5798319327731093,0.38860103626943004
59,22,0,34,0.7116564417177914,0.542016806722689,0.5958549222797928
60,15,14,28,0.6687116564417178,0.6008403361344538,0.56476683937823835
61,-4,9,-2,0.5521472392638037,0.5798319327731093,0.40932642487046633
62,-7,-4,-3,0.5337423312883436,0.5252100840336135,0.40414507772020725
63,5,12,8,0.6073619631901841,0.592436974789916,0.46113989637305697
64,-4,-3,-3,0.5521472392638037,0.5294117647058824,0.40414507772020725
65,-9,-5,-7,0.5214723926380368,0.5210084033613446,0.38341968911917096
66,9,-14,15,0.6319018404907976,0.4831932773109244,0.49740932642487046
67,-23,-18,-19,0.43558282208588955,0.46638655462184875,0.32124352331606215
68,-3,8,-3,0.558282208588957,0.5756302521008403,0.40414507772020725
69,-1,8,-1,0.5705521472392638,0.5756302521008403,0.41450777202072536
70,-8,0,-4,0.5276073619631901,0.542016806722689,0.39896373056994816
71,-10,11,-6,0.5153374233128835,0.5882352941176471,0.38860103626943004
72,-11,1,-14,0.50920245398773,0.5462184873949579,0.3471502590673575
73,5,-1,7,0.6073619631901841,0.5378151260504201,0.45595854922279794
74,6,15,11,0.6134969325153374,0.6050420168067226,0.47668393782383417
75,-7,1,-8,0.5337423312883436,0.5462184873949579,0.37823834196891193
76,5,13,13,0.6073619631901841,0.5966386554621849,0.48704663212435234
77,7,-17,13,0.6196319018404908,0.47058823529411764,0.48704663212435234
78,-27,-27,-34,0.4110429447852761,0.42857142857142855,0.24352331606217617
79,-8,-1,-7,0.5276073619631901,0.5378151260504201,0.38341968911917096
80,4,6,13,0.6012269938650306,0.5672268907563025,0.48704663212435234
81,4,1,7,0.6012269938650306,0.5462184873949579,0.45595854922279794
82,-7,-17,-4,0.5337423312883436,0.47058823529411764,0.39896373056994816
83,-13,-17,-15,0.49693251533742333,0.47058823529411764,0.34196891191709844
84,-29,-29,-16,0.3987730061349693,0.42016806722689076,0.33678756476683935
85,-12,-14,-7,0.5030674846625767,0.4831932773109244,0.38341968911917096
86,-9,-17,-8,0.5214723926380368,0.47058823529411764,0.37823834196891193
87,-13,-18,-9,0.49693251533742333,0.46638655462184875,0.37305699481865284
88,-5,-9,-6,0.5460122699386503,0.5042016806722689,0.38860103626943004
89,-11,-15,-12,0.50920245398773,0.4789915966386555,0.35751295336787564
90,-22,-23,-22,0.44171779141104295,0.44537815126050423,0.30569948186528495
91,5,7,6,0.6073619631901841,0.5714285714285714,0.45077720207253885
92,-7,-7,-9,0.5337423312883436,0.5126050420168067,0.37305699481865284
