id,bing_sentiment,afinn_sentiment,nrc_sentiment,bing_sentiment_normalized,afinn_sentiment_normalized,nrc_sentiment_normalized
1,29,-41,-13,0.4894894894894895,0.22826086956521738,0.2753623188405797
2,12,11,12,0.43843843843843844,0.4166666666666667,0.45652173913043476
3,17,17,2,0.45345345345345345,0.4384057971014493,0.38405797101449274
4,-8,-6,-2,0.3783783783783784,0.35507246376811596,0.35507246376811596
5,17,26,15,0.45345345345345345,0.47101449275362317,0.4782608695652174
6,9,10,5,0.4294294294294294,0.41304347826086957,0.4057971014492754
7,8,10,0,0.4264264264264264,0.41304347826086957,0.3695652173913043
8,-21,5,-3,0.33933933933933935,0.39492753623188404,0.34782608695652173
9,-11,-10,-2,0.36936936936936937,0.34057971014492755,0.35507246376811596
10,6,8,1,0.42042042042042044,0.4057971014492754,0.37681159420289856
11,-11,11,2,0.36936936936936937,0.4166666666666667,0.38405797101449274
12,-16,10,7,0.35435435435435436,0.41304347826086957,0.42028985507246375
13,-26,10,-4,0.32432432432432434,0.41304347826086957,0.34057971014492755
14,-4,4,1,0.39039039039039036,0.391304347826087,0.37681159420289856
15,5,5,1,0.4174174174174174,0.39492753623188404,0.37681159420289856
16,-11,-4,-4,0.36936936936936937,0.36231884057971014,0.34057971014492755
17,12,-12,-1,0.43843843843843844,0.3333333333333333,0.36231884057971014
18,-13,-23,-8,0.3633633633633634,0.29347826086956524,0.3115942028985507
19,6,4,-2,0.42042042042042044,0.391304347826087,0.35507246376811596
20,-13,11,5,0.3633633633633634,0.4166666666666667,0.4057971014492754
21,35,2,-5,0.5075075075075075,0.38405797101449274,0.3333333333333333
22,-22,-11,-1,0.33633633633633636,0.33695652173913043,0.36231884057971014
23,6,5,2,0.42042042042042044,0.39492753623188404,0.38405797101449274
24,-28,19,1,0.3183183183183183,0.44565217391304346,0.37681159420289856
25,-9,3,5,0.37537537537537535,0.38768115942028986,0.4057971014492754
26,14,14,5,0.4444444444444444,0.427536231884058,0.4057971014492754
27,42,42,8,0.5285285285285285,0.5289855072463768,0.427536231884058
28,-14,3,4,0.36036036036036034,0.38768115942028986,0.39855072463768115
29,-15,-9,0,0.35735735735735735,0.3442028985507246,0.3695652173913043
30,54,-21,-6,0.5645645645645646,0.3007246376811594,0.32608695652173914
31,36,-28,-2,0.5105105105105106,0.2753623188405797,0.35507246376811596
32,33,-3,17,0.5015015015015015,0.36594202898550726,0.4927536231884058
33,-12,-4,1,0.3663663663663664,0.36231884057971014,0.37681159420289856
34,39,18,1,0.5195195195195195,0.4420289855072464,0.37681159420289856
35,-31,-1,1,0.30930930930930933,0.37318840579710144,0.37681159420289856
36,-30,12,-2,0.3123123123123123,0.42028985507246375,0.35507246376811596
37,-10,-12,-2,0.37237237237237236,0.3333333333333333,0.35507246376811596
38,-31,-20,-7,0.30930930930930933,0.30434782608695654,0.3188405797101449
39,8,14,1,0.4264264264264264,0.427536231884058,0.37681159420289856
40,-27,3,-1,0.3213213213213213,0.38768115942028986,0.36231884057971014
41,-10,11,6,0.37237237237237236,0.4166666666666667,0.41304347826086957
42,19,26,20,0.4594594594594595,0.47101449275362317,0.5144927536231884
43,-14,-6,-7,0.36036036036036034,0.35507246376811596,0.3188405797101449
44,-21,16,5,0.33933933933933935,0.43478260869565216,0.4057971014492754
45,12,8,7,0.43843843843843844,0.4057971014492754,0.42028985507246375
46,15,8,14,0.44744744744744747,0.4057971014492754,0.47101449275362317
47,-7,13,5,0.3813813813813814,0.42391304347826086,0.4057971014492754
48,-4,-5,-3,0.39039039039039036,0.358695652173913,0.34782608695652173
49,45,23,9,0.5375375375375375,0.4601449275362319,0.43478260869565216
50,-15,2,1,0.35735735735735735,0.38405797101449274,0.37681159420289856
51,23,20,6,0.47147147147147145,0.4492753623188406,0.41304347826086957
52,42,-2,-3,0.5285285285285285,0.3695652173913043,0.34782608695652173
